player,games,minutes,points,rebds.,assists,steals,blocks,salary,slry/pts.,slry/rbds,slry/asts,slry/stls,slry/blks
Patrick Beverley,5,21,495,2,8,42,384,5513513,11138,2756756,689189,131274,14358
Tony Parker,1,4,34,0,0,46,72,15453126,454503,N/A,N/A,335937,214626
DeMarre Carroll,3,3,243,1,4,40,228,14800000,60905,14800000,3700000,370000,64912
Jeff Green,3,3,111,0,2,39,258,1471382,13255,N/A,735691,37727,5703
Norman Powell,2,2,104,0,1,44,158,1471382,14147,N/A,1471382,33440,9312
Tristan Thompson,1,39,1,0,60,49,0,16400000,16400000,N/A,273333,334693,N/A
Justin Holiday,1,65,0,1,43,82,0,4615385,N/A,4615385,107334,56285,N/A
Joel Embiid,2,54,5,2,93,78,7,6100266,1220053,3050133,65594,78208,871466
D.J. Augustin,2,62,0,2,75,81,2,7250000,N/A,3625000,96666,89506,3625000
Alex Len,0,0,0,0,0,72,0,4187598,N/A,N/A,N/A,58161,N/A
Willie Cauley-Stein,1,53,0,0,53,66,0,3704160,N/A,N/A,69889,56123,N/A
Nene Hilario,1,56,0,0,61,58,1,3477600,N/A,N/A,57009,59958,3477600
Jeremy Lamb,1,27,0,0,46,85,0,7000000,N/A,N/A,152173,82352,N/A
Emmanuel Mudiay,3,123,0,3,113,78,6,3381480,N/A,1127160,29924,43352,563580
Brandon Knight,2,54,0,1,79,85,3,13618750,N/A,13618750,172389,160220,4539583
Doug McDermott,0,0,0,0,0,84,0,3294994,N/A,N/A,N/A,39226,N/A
Jahlil Okafor,1,20,1,0,51,67,1,4995120,4995120,N/A,97943,74554,4995120
Willy Hernangomez,1,41,0,0,52,72,1,1435750,N/A,N/A,27610,19940,1435750
Kenneth Faried,0,0,0,0,0,69,0,12921348,N/A,N/A,N/A,187265,N/A
Evan Turner,3,159,1,1,127,82,4,17131148,17131148,17131148,134890,208916,4282787
Vince Carter,1,60,0,1,39,76,0,8000000,N/A,8000000,205128,105263,N/A
Langston Galloway,1,46,0,1,38,79,0,6666667,N/A,6666667,175438,84388,N/A
Joe Ingles,96,9,144,4339,7056,1,28,14136364,98169,3257,2003,14136364,504870
Matthew Dellavedova,53,0,53,2067,4526,1,15,9607500,181273,4648,2122,9607500,640500
Andre Iguodala,0,0,0,0,0,3,0,14814815,N/A,N/A,N/A,4938271,N/A
Iman Shumpert,1,41,78,1,0,2,3,10337079,132526,10337079,N/A,5168539,3445693
Solomon Hill,1,38,80,1,0,3,3,12236535,152956,12236535,N/A,4078845,4078845
Rudy Gay,1,45,85,2,1,5,3,8406000,98894,4203000,8406000,1681200,2802000
Richaun Holmes,0,0,0,0,0,3,0,1471382,N/A,N/A,N/A,490460,N/A
T.J. McConnell,0,0,0,0,0,2,0,1471382,N/A,N/A,N/A,735691,N/A
Troy Daniels,2,74,159,1,0,1,10,3408520,21437,3408520,N/A,3408520,340852
Isaiah Whitehead,0,0,0,0,0,2,0,1312611,N/A,N/A,N/A,656305,N/A
P.J. Tucker,0,0,0,0,0,4,0,7590035,N/A,N/A,N/A,1897508,N/A
Josh Richardson,1,39,77,1,0,2,4,1471382,19108,1471382,N/A,735691,367845
Rajon Rondo,0,0,0,0,0,4,0,3300000,N/A,N/A,N/A,825000,N/A
Raymond Felton,0,0,0,0,0,2,0,1471382,N/A,N/A,N/A,735691,N/A
Al Jefferson,0,0,0,0,0,3,0,9769821,N/A,N/A,N/A,3256607,N/A
Al-Farouq Aminu,1,39,70,1,1,6,3,7319035,104557,7319035,7319035,1219839,2439678
Justin Anderson,0,0,0,0,0,2,0,1579440,N/A,N/A,N/A,789720,N/A
Michael Beasley,53,3937,63,37,143,0,2220,1471382,23355,39767,10289,N/A,662
Montrezl Harrell,62,49,86,148,6,14,241,1471382,17109,9941,245230,105098,6105
Ian Clark,75,52,22,97,157,37,202,1471382,66881,15168,9371,39767,7284
Jeremy Lin,81,194,24,275,348,37,396,12000000,500000,43636,34482,324324,30303
Andre Roberson,42,25,50,163,96,24,113,9259260,185185,56805,96450,385802,81940
Amir Johnson,67,67,100,207,53,40,180,11000000,110000,53140,207547,275000,61111
Manu Ginobili,80,112,32,152,264,39,200,2500000,78125,16447,9469,64102,12500
Dwight Powell,75,30,90,210,75,28,187,9003125,100034,42872,120041,321540,48145
