player,games,minutes,points,rebds.,assists,steals,blocks,salary,slry/pts.,slry/rbds,slry/asts,slry/stls,slry/blks
Kayla Pedersen,26,265,39,59,15,0,2,105000,2692,1779,7000,N/A,52500
Shay Murphy,17,125,37,15,10,0,1,105000,2837,7000,10500,N/A,105000
Alexis Prince,18,129,34,18,7,0,3,105000,3088,5833,15000,N/A,35000
Alexis Peterson,17,120,35,20,13,0,0,105000,3000,5250,8076,N/A,NA
Imani Boyette,10,92,29,29,2,0,7,105000,3620,3620,52500,N/A,15000
Shay Murphy,9,127,28,21,7,0,0,105000,3750,5000,15000,N/A,NA
Tiffany Jackson-Jones,26,150,28,31,2,0,2,105000,3750,3387,52500,N/A,52500
Bashaara Graves,10,92,26,23,5,0,1,105000,4038,4565,21000,N/A,105000
Jennifer Hamson,12,86,26,25,2,0,10,105000,4038,4200,52500,N/A,10500
Brittany Boyd,2,32,26,8,5,1,0,105000,4038,13125,21000,105000,NA
Temi Fagbenle,21,86,25,21,0,0,4,105000,4200,5000,N/A,N/A,26250
Meighan Simmons,11,41,18,5,1,0,1,105000,5833,21000,105000,N/A,105000
Cierra Burdick,4,50,18,6,5,0,0,105000,5833,17500,21000,N/A,NA
Brianna Kiesel,9,74,14,3,9,0,0,105000,7500,35000,11666,N/A,NA
Cierra Burdick,6,36,13,6,4,0,1,105000,8076,17500,26250,N/A,105000
Evelyn Akhator,15,61,13,9,0,0,3,105000,8076,11666,N/A,N/A,35000
Jennie Simms,10,49,12,11,6,0,2,105000,8750,9545,17500,N/A,52500
Aneika Morello,6,31,12,6,1,0,0,105000,8750,17500,105000,N/A,NA
Jennie Simms,4,54,11,5,2,0,0,105000,9545,21000,52500,N/A,NA
Makayla Epps,17,64,10,3,6,0,0,105000,10500,35000,17500,N/A,NA
Rachel Hollivay,7,34,9,9,0,0,2,105000,11666,11666,N/A,N/A,52500
Haley Peters,2,36,9,2,1,0,0,105000,11666,52500,105000,N/A,NA
Sandrine Gruda,7,30,7,4,0,0,0,105000,15000,26250,N/A,N/A,NA
Breanna Lewis,13,52,6,9,2,0,0,105000,17500,11666,52500,N/A,NA
Lanay Montgomery,7,28,6,4,0,0,4,105000,17500,26250,N/A,N/A,26250
Ify Ibekwe,6,24,6,4,0,0,0,105000,17500,26250,N/A,N/A,NA
Darxia Morris,5,21,5,3,1,0,0,105000,21000,35000,105000,N/A,NA
Maimouna Diarra,10,20,3,11,1,0,0,105000,35000,9545,105000,N/A,NA
Nadia Colhado,5,13,2,2,0,0,1,105000,52500,52500,N/A,N/A,105000
Ameryst Alston,2,4,2,2,1,0,0,105000,52500,52500,105000,N/A,NA
Haley Peters,2,8,0,1,0,0,0,105000,N/A,105000,N/A,N/A,NA
Jordan Hooper,3,11,0,0,0,0,0,105000,N/A,N/A,N/A,N/A,NA
Chelsea Hopkins,2,8,0,0,0,0,0,105000,N/A,N/A,N/A,N/A,NA
Chelsea Hopkins,1,1,0,0,0,0,0,105000,N/A,N/A,N/A,N/A,NA
Feyonda Fitzgerald,2,8,0,4,1,0,0,105000,N/A,26250,105000,N/A,NA
Sophie Brunner,3,12,0,3,0,0,0,105000,N/A,35000,N/A,N/A,NA
Sophie Brunner,1,2,0,0,0,0,0,105000,N/A,N/A,N/A,N/A,NA
